stage,estimand,effect_size,model_count,family_count,models_per_family,family_correlation,benchmark_count,item_count,measurement_error,transport_heterogeneity,held_out_benchmark,held_out_family,simulated_standard_error,power,monte_carlo_se,power_ci_lower,power_ci_upper,target_power,design_adequacy,evidence_role
S4,DIAGNOSTIC_TRANSPORT_EFFECT,0.03,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.05,0.106,0.013766916866168693,0.07901684294230936,0.13298315705769065,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,TOP_K_DECISION_STABILITY,0.01,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.01076922112770908,0.156,0.01622738426241272,0.12419432684567107,0.18780567315432894,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,TOP_K_DECISION_STABILITY,0.02,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.01076922112770908,0.474,0.022330427671677047,0.430232361763513,0.517767638236487,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,TOP_K_DECISION_STABILITY,0.03,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.01076922112770908,0.774,0.01870422412183943,0.7373397207211947,0.8106602792788054,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,CLAIM_LICENSE_RATE,0.01,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.1305582419667734,0.052,0.00992935043192655,0.03253847315342396,0.07146152684657603,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,CLAIM_LICENSE_RATE,0.02,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.1305582419667734,0.044,0.009172131704244111,0.02602262185968154,0.06197737814031845,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,CLAIM_LICENSE_RATE,0.03,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.1305582419667734,0.056,0.010282412168358162,0.035846472150018,0.076153527849982,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,REPAIR_EFFECT,0.01,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.00829676531078193,0.226,0.01870422412183943,0.18933972072119473,0.2626602792788053,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,REPAIR_EFFECT,0.02,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.00829676531078193,0.664,0.02112363605064242,0.6225976733407409,0.7054023266592592,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,REPAIR_EFFECT,0.03,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.00829676531078193,0.952,0.009559916317625384,0.9332625640174542,0.9707374359825457,0.8,ADEQUATE,PLANNING_SIMULATION_ONLY
